yale	2119:2248:2885:29
"london,	27548:26922:2479:372
april	30366:26922:1420:372
22:	32079:26967:811:253
associated	33229:26893:2908:312
press	36475:26893:1465:312
—	31967:29707:586:29 38099:27056:563:44
sakcspcare	26985:27458:2975:372
lovers,	30344:27443:1758:402
owever,	32440:27533:2051:268
arc	34897:27533:834:193
bewai'.ing	36092:27399:2570:387
te	35596:27994:495:253 26917:28039:473:238 26939:28560:450:253
fact	27751:27980:1037:297
tat	29126:28024:698:253
it	30163:27965:360:312
is	30862:27965:383:312
easier	31561:27950:1555:327
to	33432:27994:518:268
find	34266:27950:1014:297
plays	36408:27935:1375:372
of	38121:27920:541:312 31989:40801:631:357 29081:32521:541:312 34469:28992:541:297 32575:38195:631:357 35732:31449:563:297
trie	27751:28605:811:253
at	28675:28545:473:253
hpoet	29509:28486:1487:372
running	31358:28471:2096:387
in	31651:37152:586:357 35777:32477:473:327 30592:29007:473:297 33838:28471:495:297
new	32553:29528:1307:297 34695:28456:1262:312
york	36340:28456:1420:312 34221:29513:1307:312
or	38144:28545:518:208
berlin	26939:29022:1690:312
than	29013:29022:1149:297
heart	32666:29007:1397:297 29171:42379:1623:357 29194:38731:1645:357 29149:35604:1645:357
great	35461:28977:1487:312
brit	37355:28962:1059:297
ain's	26917:29543:1194:297
theatreland."	28427:29528:3494:312
world.	35912:29498:1871:327
"i	27548:30958:518:297
know	28382:30973:1442:297
ben	30118:30958:1037:297 30118:31479:1037:297
jonson	31426:30943:1871:372
did	33590:30928:811:312
that,	34695:30928:1172:372
but	36182:30913:856:312
after	37355:30913:1307:312
all	26917:31479:653:312
he	27886:31479:608:312
was	28788:31583:991:208
jonson.	31471:31464:1983:372
most	34063:31449:1375:312
us	36633:31553:563:193
need	37467:31434:1194:297
a	32981:40935:338:223 26917:32119:270:193 29690:39386:338:223 34311:40384:338:238 29780:36259:338:223
strong	27526:32060:1735:312
climatic	29600:31985:2096:327
scene."	32057:31985:1826:312
—prof.	33928:31970:2074:312
perdan's	36363:31955:2276:312
review	26939:32536:1758:297
playcraftsmen,	31245:32506:4125:372
connec	36633:32581:1690:223
tion	26894:33042:1059:327
with	28382:33042:1194:327 28991:37688:1397:372
pantagruel's	30050:33028:3404:372
play	33883:33013:1127:387
"words."	35461:32998:2615:327
something	27571:33549:2885:387
like	30862:33549:969:312
"rain,"	32237:33534:2028:372
perhaps?	34649:33534:2434:372
rondel.	31741:34978:2186:297
if	26962:38746:563:357 27030:42394:563:357 26962:35619:541:357
my	27909:38865:969:342 28585:40413:969:357 27886:35738:969:327 27931:42498:969:342
were	31155:38835:1487:238 31133:35708:1487:238 31110:42483:1487:253
laid	32959:35574:1149:357 32959:38701:1149:357 32914:42349:1149:372
bare	34424:38701:1375:357 34447:35574:1330:357
what	27683:36125:1780:372 27706:39267:1803:357
pageant	30434:36170:2457:416 30253:39297:2457:416
would	32936:39222:1916:372 29397:41337:1916:342 33184:36095:1916:372
pass	35393:36214:1330:357 35100:39326:1307:372
!	36633:39207:112:357 36949:36095:112:342
gay	27706:36661:1262:446
lass	32395:36631:1127:357 29216:36661:1127:342
upon	30614:36750:1578:342
floating	26962:37167:2660:476
light	29915:37152:1442:476
air,	33793:37137:1037:431
some	26962:37703:1713:357
bright	30659:37659:1961:491
yellow	32868:37659:2051:491
hair,	35213:37659:1420:431
others	27683:38225:2186:357
darker	30186:38210:2074:342
class.	33522:38195:1623:357
yet,	26962:40294:1307:446
friends,	29870:40279:2389:446
have	32575:40279:1442:357
care:	34942:40279:3719:491
without	27728:40816:2682:372
aid	30727:40801:924:372
glass	33612:40786:1487:476
you	27751:41352:1330:342
witness,	31629:41322:2479:431
alas!	34424:41292:4238:461
just	27007:41873:1307:461
ventricles	29757:41843:3020:357
there	33049:41843:1578:357
bare.	34356:42334:1532:372
ayesha.	35484:42945:2479:461
mind	29284:44389:1690:327
over	32237:50197:1149:208 31448:49676:1149:223 31381:44389:1848:312
matter.	33590:44374:2998:312
"the	27683:44911:1352:297
next	29261:44955:1217:253
thing	30727:44896:1420:372
she	35236:44881:856:297 32440:44896:834:312
knew	33522:44881:1442:312
had	36363:44866:969:297
been	37625:44851:1194:312
knocked	27075:45432:2231:312
unconscious."	29622:45402:3674:327
—clipped	33297:45387:2682:402
from	36318:45387:1352:312
the	36611:47472:834:297 35010:46951:811:312 38031:45372:789:327 32868:49571:834:327 33748:50093:834:297 28495:50122:811:297
n.	27075:45953:653:327
y.	28112:45953:563:312
times	29036:45953:1645:312
by	30975:45938:631:372
l.	31944:45938:518:312
moore,	32846:45923:1893:372
1924.	35100:45953:1307:268
alas!	27728:46936:1555:416
professor	29622:46980:2682:312
phelps,	32711:46966:1938:387
president	36182:46936:2412:402
maker,	27120:47516:1826:402
has	29261:47516:879:297 27165:49601:879:312
officially	30456:47502:2299:372
frowned	33094:47487:2276:312
on	27210:51269:653:193 35686:47591:631:193
sug	37760:47561:834:282
gestion	27120:48038:1938:372
that	29329:48023:1104:312
phi	30794:48008:924:327
beta	32057:48023:1217:312
kappa	33590:48008:1780:372
be	35709:47993:586:312
awarded	36611:47978:2276:327
to	35168:50644:495:268 27165:48604:473:268
low-stand	27954:48544:2637:327
men	30862:48648:1104:208
for	32282:48544:811:297
"distinguished	33432:48499:3832:402
serv	37580:48604:1059:223
ice,"	27187:49080:1127:387
or	28765:49169:518:223
something	29757:49065:2750:357
like	32959:49050:991:312
that.	34356:49050:1217:297
the.	36318:49035:1059:297
key	37828:49020:1104:387
triumphed	28337:49571:2795:402
curriculum-dodg	33996:49557:4576:357
ers,	27187:50227:924:253
chewers	29667:50107:2186:312
eschewers.	34897:50063:2885:327
a	38459:50063:473:297
lot	27210:50644:676:312
of	28157:50644:563:312
colyumists	29059:50629:2817:372
are	32192:50718:856:223
going	33319:50614:1510:372
start	36002:50644:1262:253
work	37558:50584:1397:312
their	28134:51150:1262:312
studies	29712:51135:1803:327
this	31831:51135:969:327
spring.	33139:51135:1961:372
news	28067:55111:1893:357 27278:52564:1826:297
fare	29555:52550:1735:312
triumphs	31741:52535:3426:327
over	35596:52535:1871:297
phi	37896:52520:1104:297
beta	29171:53056:1758:297
kappa	31335:53056:2344:297
layout.	34131:53041:2998:297
guests	27278:53577:1871:282
get	29442:53562:991:297
10	30772:53577:653:282
per	31764:53562:969:297
cent	33026:53547:1375:312
more	34672:53532:1510:297
chicken.	36498:53518:2524:297
banquet	28044:54068:2637:461
standing	31110:54054:2705:461
is	34199:54039:473:357
now	35123:54158:1307:238
as	36814:54143:608:238
fol	37896:54024:834:342
lows	27278:54590:1397:372
:	30163:55230:112:238 33883:54590:5207:372
speeches	34063:55587:2817:446 30659:55096:2817:476
0,	33793:55081:563:431 33229:55602:541:431
food	31358:55617:1600:357 34717:55066:1645:357
90.	37129:55572:901:357 36656:55051:924:372
p.	28089:55632:653:357
b.	29036:55632:676:357
x.:	29960:55572:1082:461
"the	27954:57002:1330:312
love	29622:57002:1352:312
habit,"	31268:56987:1983:387
an	33590:57091:653:208
amusing	34559:56972:2254:372
french	37152:56957:1916:312
farce	27368:57538:1397:297
now	29171:57627:1149:208
running	30727:57523:2119:372
in	33274:57508:495:297 36273:58536:495:297
new	34221:57493:1262:312
york,	35912:57479:1555:372
con	37941:57568:856:223
tains	27390:58059:1217:297
the	27413:60650:811:282 30050:59578:811:312 28878:58059:811:282
line:	29960:57985:1262:416
"at	31516:58029:991:312
cape	32733:58029:1330:372
dc	34289:58029:586:297
ritz	35168:58015:1127:297
they	36521:58000:1149:387
hold	37941:57985:1149:312
petting-parties	27368:58551:3922:402
on	31741:58655:631:208
gold	32801:58551:1172:372
rafts,	34379:58536:1442:402
radium	36543:60070:1916:312 37197:58506:1893:312
bathing-suits,"	27390:59072:3945:372
a	31831:59176:293:193
laugh-provoking	32620:59042:4508:402
state	37625:59072:1239:268
ment	27390:59638:1352:268
to	29126:59623:541:282
t.	31313:59578:563:312
b.	32327:59578:563:312
m.,	33364:59578:856:372
but	34627:59578:879:297
rather	35912:59548:1668:312
sug	37986:59653:856:268
gestive	27390:60114:1871:387
when	29555:60099:1442:327
one	31268:60189:901:223
considers	32418:60099:2479:312
that	35213:60099:1037:297
is	38730:60055:383:297
scarcest	28630:60665:2119:268
material	31110:60606:2254:327
known.	33703:60620:1938:297
the	28067:62050:1059:297 32846:62035:834:297
tumult	29419:62035:1803:312
and	31583:62020:924:312
shouting	33973:62005:2299:372
yesterday	36588:61990:2592:387
may	27458:62675:1104:268
have	28901:62571:1239:312
been	30479:62571:1194:297
in	32012:62541:473:297
bryan's	32846:62541:2051:372
favor,	35303:62527:1578:402
but	37242:62527:856:297
we	38459:62616:721:208
were	27480:63197:1285:208
rooting	29126:63063:1961:387
for	31493:63063:834:312
shakespeare.	32756:63063:3449:372
ariel.	36340:63867:2276:297
